   446	2022-03-12T13:51:19.781 INFO bellperson::gpu::multiexp > n:1000000, window_size:1, num_windows:256, num_groups:68, bucket_len:2
   458	2022-03-12T13:51:20.127 INFO bellperson::gpu::multiexp > ----------------------------------kernel run time: 329.56234ms
   446	2022-03-12T13:56:09.630 INFO bellperson::gpu::multiexp > ----------------------------------cpu->gpu time: 25.410727ms
   458	2022-03-12T13:56:09.862 INFO bellperson::gpu::multiexp > ----------------------------------cpu->gpu begin
   446	2022-03-12T14:00:56.894 INFO bellperson::gpu::multiexp > ----------------------------------cpu->gpu time: 10.534038ms
   458	2022-03-12T14:00:57.082 INFO bellperson::gpu::multiexp > ----------------------------------cpu->gpu begin
   446	2022-03-12T14:05:41.807 INFO bellperson::gpu::multiexp > ----------------------------------cpu->gpu time: 24.826872ms
   458	2022-03-12T14:05:41.951 INFO bellperson::gpu::multiexp > ----------------------------------cpu->gpu begin
   446	2022-03-12T14:10:26.233 INFO bellperson::gpu::multiexp > ----------------------------------cpu->gpu time: 11.277332ms
   458	2022-03-12T14:10:26.370 INFO bellperson::gpu::multiexp > ----------------------------------cpu->gpu begin
   446	2022-03-12T14:15:10.409 INFO bellperson::gpu::multiexp > ----------------------------------cpu->gpu time: 10.634655ms
   458	2022-03-12T14:15:10.530 INFO bellperson::gpu::multiexp > ----------------------------------cpu->gpu begin
   446	2022-03-12T14:19:54.262 INFO bellperson::gpu::multiexp > ----------------------------------cpu->gpu time: 10.766778ms
   458	2022-03-12T14:19:54.373 INFO bellperson::gpu::multiexp > ----------------------------------cpu->gpu begin
   446	2022-03-12T14:24:41.975 INFO bellperson::gpu::multiexp > ----------------------------------cpu->gpu time: 11.144085ms
   458	2022-03-12T14:24:42.094 INFO bellperson::gpu::multiexp > ----------------------------------cpu->gpu begin
   446	2022-03-12T14:29:27.284 INFO bellperson::gpu::multiexp > ----------------------------------cpu->gpu time: 10.983914ms
   458	2022-03-12T14:29:27.430 INFO bellperson::gpu::multiexp > ----------------------------------cpu->gpu begin
   446	2022-03-12T14:34:15.880 INFO bellperson::gpu::multiexp > ----------------------------------cpu->gpu time: 10.926302ms
   458	2022-03-12T14:34:16.092 INFO bellperson::gpu::multiexp > ----------------------------------cpu->gpu begin
   446	2022-03-12T14:39:06.647 INFO bellperson::gpu::multiexp > ----------------------------------cpu->gpu time: 15.835471ms
   458	2022-03-12T14:39:06.969 INFO bellperson::gpu::multiexp > ----------------------------------cpu->gpu begin
   446	2022-03-12T14:43:12.595 INFO bellperson::gpu::multiexp > ----------------------------------cpu->gpu time: 20.432156ms
   458	2022-03-12T14:43:13.293 INFO bellperson::gpu::multiexp > ----------------------------------cpu->gpu begin
   446	2022-03-12T14:48:03.309 INFO bellperson::gpu::multiexp > ----------------------------------cpu->gpu time: 21.460531ms
   458	2022-03-12T14:48:03.753 INFO bellperson::gpu::multiexp > ----------------------------------cpu->gpu begin
   446	2022-03-12T14:52:51.689 INFO bellperson::gpu::multiexp > ----------------------------------cpu->gpu time: 29.895949ms
   458	2022-03-12T14:52:52.044 INFO bellperson::gpu::multiexp > ----------------------------------cpu->gpu begin
   446	2022-03-12T14:57:38.751 INFO bellperson::gpu::multiexp > ----------------------------------cpu->gpu time: 20.177562ms
   458	2022-03-12T14:57:39.014 INFO bellperson::gpu::multiexp > ----------------------------------cpu->gpu begin
   446	2022-03-12T15:02:24.377 INFO bellperson::gpu::multiexp > ----------------------------------cpu->gpu time: 25.759816ms
   458	2022-03-12T15:02:24.622 INFO bellperson::gpu::multiexp > ----------------------------------cpu->gpu begin
   446	2022-03-12T15:07:08.764 INFO bellperson::gpu::multiexp > ----------------------------------cpu->gpu time: 20.900204ms
   458	2022-03-12T15:07:08.977 INFO bellperson::gpu::multiexp > ----------------------------------cpu->gpu begin
   446	2022-03-12T15:11:53.097 INFO bellperson::gpu::multiexp > ----------------------------------cpu->gpu time: 29.879039ms
   458	2022-03-12T15:11:53.289 INFO bellperson::gpu::multiexp > ----------------------------------cpu->gpu begin
   446	2022-03-12T15:16:37.463 INFO bellperson::gpu::multiexp > ----------------------------------cpu->gpu time: 21.095884ms
   458	2022-03-12T15:16:37.662 INFO bellperson::gpu::multiexp > ----------------------------------cpu->gpu begin
   446	2022-03-12T15:21:25.264 INFO bellperson::gpu::multiexp > ----------------------------------cpu->gpu time: 29.410326ms
   458	2022-03-12T15:21:25.473 INFO bellperson::gpu::multiexp > ----------------------------------cpu->gpu begin
   446	2022-03-12T15:26:13.314 INFO bellperson::gpu::multiexp > ----------------------------------cpu->gpu time: 29.597541ms
   458	2022-03-12T15:26:13.568 INFO bellperson::gpu::multiexp > ----------------------------------cpu->gpu begin
   446	2022-03-12T15:31:02.405 INFO bellperson::gpu::multiexp > ----------------------------------cpu->gpu time: 29.486778ms
   458	2022-03-12T15:31:02.784 INFO bellperson::gpu::multiexp > ----------------------------------cpu->gpu begin
   446	2022-03-12T15:35:04.514 INFO bellperson::gpu::multiexp > ----------------------------------cpu->gpu time: 31.360644ms
   458	2022-03-12T15:35:05.547 INFO bellperson::gpu::multiexp > ----------------------------------cpu->gpu begin
   446	2022-03-12T15:39:56.194 INFO bellperson::gpu::multiexp > ----------------------------------cpu->gpu time: 43.141972ms
   458	2022-03-12T15:39:56.847 INFO bellperson::gpu::multiexp > ----------------------------------cpu->gpu begin
   446	2022-03-12T15:44:43.470 INFO bellperson::gpu::multiexp > ----------------------------------cpu->gpu time: 31.391424ms
   458	2022-03-12T15:44:43.994 INFO bellperson::gpu::multiexp > ----------------------------------cpu->gpu begin
   446	2022-03-12T15:49:29.430 INFO bellperson::gpu::multiexp > ----------------------------------cpu->gpu time: 31.425245ms
   458	2022-03-12T15:49:29.813 INFO bellperson::gpu::multiexp > ----------------------------------cpu->gpu begin
   446	2022-03-12T15:54:13.916 INFO bellperson::gpu::multiexp > ----------------------------------cpu->gpu time: 76.217273ms
   458	2022-03-12T15:54:14.284 INFO bellperson::gpu::multiexp > ----------------------------------cpu->gpu begin
   446	2022-03-12T15:58:59.981 INFO bellperson::gpu::multiexp > ----------------------------------cpu->gpu time: 43.590238ms
   458	2022-03-12T15:59:00.291 INFO bellperson::gpu::multiexp > ----------------------------------cpu->gpu begin
   446	2022-03-12T16:03:49.046 INFO bellperson::gpu::multiexp > ----------------------------------cpu->gpu time: 73.089342ms
   458	2022-03-12T16:03:49.307 INFO bellperson::gpu::multiexp > ----------------------------------cpu->gpu begin
   446	2022-03-12T16:08:31.930 INFO bellperson::gpu::multiexp > ----------------------------------cpu->gpu time: 43.258809ms
   458	2022-03-12T16:08:32.174 INFO bellperson::gpu::multiexp > ----------------------------------cpu->gpu begin
   446	2022-03-12T16:13:19.009 INFO bellperson::gpu::multiexp > ----------------------------------cpu->gpu time: 42.695576ms
   458	2022-03-12T16:13:19.285 INFO bellperson::gpu::multiexp > ----------------------------------cpu->gpu begin
   446	2022-03-12T16:18:04.752 INFO bellperson::gpu::multiexp > ----------------------------------cpu->gpu time: 31.657831ms
   458	2022-03-12T16:18:05.064 INFO bellperson::gpu::multiexp > ----------------------------------cpu->gpu begin
   446	2022-03-12T16:22:54.418 INFO bellperson::gpu::multiexp > ----------------------------------cpu->gpu time: 43.499831ms
   458	2022-03-12T16:22:54.857 INFO bellperson::gpu::multiexp > ----------------------------------cpu->gpu begin
   446	2022-03-12T16:26:54.530 INFO bellperson::gpu::multiexp > ----------------------------------cpu->gpu time: 57.204764ms
   458	2022-03-12T16:26:55.895 INFO bellperson::gpu::multiexp > ----------------------------------cpu->gpu begin
   446	2022-03-12T16:31:45.267 INFO bellperson::gpu::multiexp > ----------------------------------cpu->gpu time: 101.567687ms
   458	2022-03-12T16:31:46.150 INFO bellperson::gpu::multiexp > ----------------------------------cpu->gpu begin
   446	2022-03-12T16:36:31.716 INFO bellperson::gpu::multiexp > ----------------------------------cpu->gpu time: 44.447237ms
   458	2022-03-12T16:36:32.408 INFO bellperson::gpu::multiexp > ----------------------------------cpu->gpu begin
   446	2022-03-12T16:41:16.776 INFO bellperson::gpu::multiexp > ----------------------------------cpu->gpu time: 40.969949ms
   458	2022-03-12T16:41:17.278 INFO bellperson::gpu::multiexp > ----------------------------------cpu->gpu begin
   446	2022-03-12T16:46:01.101 INFO bellperson::gpu::multiexp > ----------------------------------cpu->gpu time: 40.00036ms
   458	2022-03-12T16:46:01.562 INFO bellperson::gpu::multiexp > ----------------------------------cpu->gpu begin
   446	2022-03-12T16:50:45.650 INFO bellperson::gpu::multiexp > ----------------------------------cpu->gpu time: 40.198799ms
   458	2022-03-12T16:50:46.049 INFO bellperson::gpu::multiexp > ----------------------------------cpu->gpu begin
   446	2022-03-12T16:55:29.387 INFO bellperson::gpu::multiexp > ----------------------------------cpu->gpu time: 39.587123ms
   458	2022-03-12T16:55:29.716 INFO bellperson::gpu::multiexp > ----------------------------------cpu->gpu begin
   446	2022-03-12T17:00:14.054 INFO bellperson::gpu::multiexp > ----------------------------------cpu->gpu time: 39.879279ms
   458	2022-03-12T17:00:14.360 INFO bellperson::gpu::multiexp > ----------------------------------cpu->gpu begin
   446	2022-03-12T17:05:01.878 INFO bellperson::gpu::multiexp > ----------------------------------cpu->gpu time: 40.474112ms
   458	2022-03-12T17:05:02.222 INFO bellperson::gpu::multiexp > ----------------------------------cpu->gpu begin
   446	2022-03-12T17:09:51.557 INFO bellperson::gpu::multiexp > ----------------------------------cpu->gpu time: 41.314965ms
   458	2022-03-12T17:09:51.919 INFO bellperson::gpu::multiexp > ----------------------------------cpu->gpu begin
   446	2022-03-12T17:14:39.739 INFO bellperson::gpu::multiexp > ----------------------------------cpu->gpu time: 41.938253ms
   458	2022-03-12T17:14:40.235 INFO bellperson::gpu::multiexp > ----------------------------------cpu->gpu begin
   442	2022-03-12T13:51:19.781 INFO bellperson::gpu::multiexp > gpu multiexp
   454	2022-03-12T13:51:19.797 INFO bellperson::gpu::multiexp > ----------------------------------cpu->gpu time: 4.208114ms
   442	2022-03-12T13:56:09.604 INFO bellperson::gpu::multiexp > n:1000000, window_size:2, num_windows:128, num_groups:136, bucket_len:4
   454	2022-03-12T13:56:09.840 INFO bellperson::gpu::multiexp > ----------------------------------kernel run time: 205.691972ms
   442	2022-03-12T14:00:56.883 INFO bellperson::gpu::multiexp > n:1000000, window_size:3, num_windows:86, num_groups:202, bucket_len:8
   454	2022-03-12T14:00:57.059 INFO bellperson::gpu::multiexp > ----------------------------------kernel run time: 162.03187ms
   442	2022-03-12T14:05:41.782 INFO bellperson::gpu::multiexp > n:1000000, window_size:4, num_windows:64, num_groups:272, bucket_len:16
   454	2022-03-12T14:05:41.928 INFO bellperson::gpu::multiexp > ----------------------------------kernel run time: 116.210467ms
   442	2022-03-12T14:10:26.221 INFO bellperson::gpu::multiexp > n:1000000, window_size:5, num_windows:52, num_groups:334, bucket_len:32
   454	2022-03-12T14:10:26.345 INFO bellperson::gpu::multiexp > ----------------------------------kernel run time: 106.932723ms
   442	2022-03-12T14:15:10.398 INFO bellperson::gpu::multiexp > n:1000000, window_size:6, num_windows:43, num_groups:404, bucket_len:64
   454	2022-03-12T14:15:10.507 INFO bellperson::gpu::multiexp > ----------------------------------kernel run time: 94.442566ms
   442	2022-03-12T14:19:54.250 INFO bellperson::gpu::multiexp > n:1000000, window_size:7, num_windows:37, num_groups:470, bucket_len:128
   454	2022-03-12T14:19:54.348 INFO bellperson::gpu::multiexp > ----------------------------------kernel run time: 82.447215ms
   442	2022-03-12T14:24:41.963 INFO bellperson::gpu::multiexp > n:1000000, window_size:8, num_windows:32, num_groups:544, bucket_len:256
   454	2022-03-12T14:24:42.070 INFO bellperson::gpu::multiexp > ----------------------------------kernel run time: 89.470131ms
   442	2022-03-12T14:29:27.272 INFO bellperson::gpu::multiexp > n:1000000, window_size:9, num_windows:29, num_groups:600, bucket_len:512
   454	2022-03-12T14:29:27.404 INFO bellperson::gpu::multiexp > ----------------------------------kernel run time: 114.987759ms
   442	2022-03-12T14:34:15.868 INFO bellperson::gpu::multiexp > n:1000000, window_size:10, num_windows:26, num_groups:669, bucket_len:1024
   454	2022-03-12T14:34:16.054 INFO bellperson::gpu::multiexp > ----------------------------------kernel run time: 167.411341ms
   442	2022-03-12T14:39:06.631 INFO bellperson::gpu::multiexp > n:1000000, window_size:11, num_windows:24, num_groups:725, bucket_len:2048
   454	2022-03-12T14:39:06.942 INFO bellperson::gpu::multiexp > ----------------------------------kernel run time: 286.250574ms
   442	2022-03-12T14:43:12.574 INFO bellperson::gpu::multiexp > n:2000000, window_size:1, num_windows:256, num_groups:68, bucket_len:2
   454	2022-03-12T14:43:13.264 INFO bellperson::gpu::multiexp > ----------------------------------kernel run time: 662.642563ms
   442	2022-03-12T14:48:03.287 INFO bellperson::gpu::multiexp > n:2000000, window_size:2, num_windows:128, num_groups:136, bucket_len:4
   454	2022-03-12T14:48:03.730 INFO bellperson::gpu::multiexp > ----------------------------------kernel run time: 411.829477ms
   442	2022-03-12T14:52:51.659 INFO bellperson::gpu::multiexp > n:2000000, window_size:3, num_windows:86, num_groups:202, bucket_len:8
   454	2022-03-12T14:52:52.021 INFO bellperson::gpu::multiexp > ----------------------------------kernel run time: 325.146822ms
   442	2022-03-12T14:57:38.731 INFO bellperson::gpu::multiexp > n:2000000, window_size:4, num_windows:64, num_groups:272, bucket_len:16
   454	2022-03-12T14:57:38.990 INFO bellperson::gpu::multiexp > ----------------------------------kernel run time: 232.124834ms
   442	2022-03-12T15:02:24.351 INFO bellperson::gpu::multiexp > n:2000000, window_size:5, num_windows:52, num_groups:334, bucket_len:32
   454	2022-03-12T15:02:24.599 INFO bellperson::gpu::multiexp > ----------------------------------kernel run time: 212.987274ms
   442	2022-03-12T15:07:08.743 INFO bellperson::gpu::multiexp > n:2000000, window_size:6, num_windows:43, num_groups:404, bucket_len:64
   454	2022-03-12T15:07:08.954 INFO bellperson::gpu::multiexp > ----------------------------------kernel run time: 182.884151ms
   442	2022-03-12T15:11:53.067 INFO bellperson::gpu::multiexp > n:2000000, window_size:7, num_windows:37, num_groups:470, bucket_len:128
   454	2022-03-12T15:11:53.259 INFO bellperson::gpu::multiexp > ----------------------------------kernel run time: 151.903589ms
   442	2022-03-12T15:16:37.442 INFO bellperson::gpu::multiexp > n:2000000, window_size:8, num_windows:32, num_groups:544, bucket_len:256
   454	2022-03-12T15:16:37.622 INFO bellperson::gpu::multiexp > ----------------------------------kernel run time: 148.959885ms
   442	2022-03-12T15:21:25.234 INFO bellperson::gpu::multiexp > n:2000000, window_size:9, num_windows:29, num_groups:600, bucket_len:512
   454	2022-03-12T15:21:25.448 INFO bellperson::gpu::multiexp > ----------------------------------kernel run time: 174.214323ms
   442	2022-03-12T15:26:13.283 INFO bellperson::gpu::multiexp > n:2000000, window_size:10, num_windows:26, num_groups:669, bucket_len:1024
   454	2022-03-12T15:26:13.543 INFO bellperson::gpu::multiexp > ----------------------------------kernel run time: 218.692205ms
   442	2022-03-12T15:31:02.375 INFO bellperson::gpu::multiexp > n:2000000, window_size:11, num_windows:24, num_groups:725, bucket_len:2048
   454	2022-03-12T15:31:02.757 INFO bellperson::gpu::multiexp > ----------------------------------kernel run time: 339.423866ms
   442	2022-03-12T15:35:04.483 INFO bellperson::gpu::multiexp > n:3000000, window_size:1, num_windows:256, num_groups:68, bucket_len:2
   454	2022-03-12T15:35:05.523 INFO bellperson::gpu::multiexp > ----------------------------------kernel run time: 991.954317ms
   442	2022-03-12T15:39:56.150 INFO bellperson::gpu::multiexp > n:3000000, window_size:2, num_windows:128, num_groups:136, bucket_len:4
   454	2022-03-12T15:39:56.824 INFO bellperson::gpu::multiexp > ----------------------------------kernel run time: 619.92404ms
   442	2022-03-12T15:44:43.438 INFO bellperson::gpu::multiexp > n:3000000, window_size:3, num_windows:86, num_groups:202, bucket_len:8
   454	2022-03-12T15:44:43.971 INFO bellperson::gpu::multiexp > ----------------------------------kernel run time: 487.057028ms
   442	2022-03-12T15:49:29.398 INFO bellperson::gpu::multiexp > n:3000000, window_size:4, num_windows:64, num_groups:272, bucket_len:16
   454	2022-03-12T15:49:29.788 INFO bellperson::gpu::multiexp > ----------------------------------kernel run time: 348.325834ms
   442	2022-03-12T15:54:13.840 INFO bellperson::gpu::multiexp > n:3000000, window_size:5, num_windows:52, num_groups:334, bucket_len:32
   454	2022-03-12T15:54:14.261 INFO bellperson::gpu::multiexp > ----------------------------------kernel run time: 319.502171ms
   442	2022-03-12T15:58:59.937 INFO bellperson::gpu::multiexp > n:3000000, window_size:6, num_windows:43, num_groups:404, bucket_len:64
   454	2022-03-12T15:59:00.267 INFO bellperson::gpu::multiexp > ----------------------------------kernel run time: 271.744927ms
   442	2022-03-12T16:03:48.973 INFO bellperson::gpu::multiexp > n:3000000, window_size:7, num_windows:37, num_groups:470, bucket_len:128
   454	2022-03-12T16:03:49.283 INFO bellperson::gpu::multiexp > ----------------------------------kernel run time: 221.257016ms
   442	2022-03-12T16:08:31.886 INFO bellperson::gpu::multiexp > n:3000000, window_size:8, num_windows:32, num_groups:544, bucket_len:256
   454	2022-03-12T16:08:32.149 INFO bellperson::gpu::multiexp > ----------------------------------kernel run time: 208.985951ms
   442	2022-03-12T16:13:18.966 INFO bellperson::gpu::multiexp > n:3000000, window_size:9, num_windows:29, num_groups:600, bucket_len:512
   454	2022-03-12T16:13:19.260 INFO bellperson::gpu::multiexp > ----------------------------------kernel run time: 232.249706ms
   442	2022-03-12T16:18:04.720 INFO bellperson::gpu::multiexp > n:3000000, window_size:10, num_windows:26, num_groups:669, bucket_len:1024
   454	2022-03-12T16:18:05.038 INFO bellperson::gpu::multiexp > ----------------------------------kernel run time: 270.669833ms
   442	2022-03-12T16:22:54.374 INFO bellperson::gpu::multiexp > n:3000000, window_size:11, num_windows:24, num_groups:725, bucket_len:2048
   454	2022-03-12T16:22:54.827 INFO bellperson::gpu::multiexp > ----------------------------------kernel run time: 392.825784ms
   442	2022-03-12T16:26:54.473 INFO bellperson::gpu::multiexp > n:4000000, window_size:1, num_windows:256, num_groups:68, bucket_len:2
   454	2022-03-12T16:26:55.872 INFO bellperson::gpu::multiexp > ----------------------------------kernel run time: 1.328521423s
   442	2022-03-12T16:31:45.165 INFO bellperson::gpu::multiexp > n:4000000, window_size:2, num_windows:128, num_groups:136, bucket_len:4
   454	2022-03-12T16:31:46.123 INFO bellperson::gpu::multiexp > ----------------------------------kernel run time: 825.787978ms
   442	2022-03-12T16:36:31.671 INFO bellperson::gpu::multiexp > n:4000000, window_size:3, num_windows:86, num_groups:202, bucket_len:8
   454	2022-03-12T16:36:32.384 INFO bellperson::gpu::multiexp > ----------------------------------kernel run time: 650.117971ms
   442	2022-03-12T16:41:16.735 INFO bellperson::gpu::multiexp > n:4000000, window_size:4, num_windows:64, num_groups:272, bucket_len:16
   454	2022-03-12T16:41:17.253 INFO bellperson::gpu::multiexp > ----------------------------------kernel run time: 463.975486ms
   442	2022-03-12T16:46:01.060 INFO bellperson::gpu::multiexp > n:4000000, window_size:5, num_windows:52, num_groups:334, bucket_len:32
   454	2022-03-12T16:46:01.538 INFO bellperson::gpu::multiexp > ----------------------------------kernel run time: 424.759006ms
   442	2022-03-12T16:50:45.610 INFO bellperson::gpu::multiexp > n:4000000, window_size:6, num_windows:43, num_groups:404, bucket_len:64
   454	2022-03-12T16:50:46.024 INFO bellperson::gpu::multiexp > ----------------------------------kernel run time: 360.913722ms
   442	2022-03-12T16:55:29.347 INFO bellperson::gpu::multiexp > n:4000000, window_size:7, num_windows:37, num_groups:470, bucket_len:128
   454	2022-03-12T16:55:29.691 INFO bellperson::gpu::multiexp > ----------------------------------kernel run time: 291.121776ms
   442	2022-03-12T17:00:14.013 INFO bellperson::gpu::multiexp > n:4000000, window_size:8, num_windows:32, num_groups:544, bucket_len:256
   454	2022-03-12T17:00:14.335 INFO bellperson::gpu::multiexp > ----------------------------------kernel run time: 268.494793ms
   442	2022-03-12T17:05:01.837 INFO bellperson::gpu::multiexp > n:4000000, window_size:9, num_windows:29, num_groups:600, bucket_len:512
   454	2022-03-12T17:05:02.182 INFO bellperson::gpu::multiexp > ----------------------------------kernel run time: 289.859823ms
   442	2022-03-12T17:09:51.515 INFO bellperson::gpu::multiexp > n:4000000, window_size:10, num_windows:26, num_groups:669, bucket_len:1024
   454	2022-03-12T17:09:51.894 INFO bellperson::gpu::multiexp > ----------------------------------kernel run time: 321.557733ms
   442	2022-03-12T17:14:39.697 INFO bellperson::gpu::multiexp > n:4000000, window_size:11, num_windows:24, num_groups:725, bucket_len:2048
   454	2022-03-12T17:14:40.207 INFO bellperson::gpu::multiexp > ----------------------------------kernel run time: 446.566746ms
   442	2022-03-12T13:51:19.781 INFO bellperson::gpu::multiexp > gpu multiexp
   454	2022-03-12T13:51:19.797 INFO bellperson::gpu::multiexp > ----------------------------------cpu->gpu time: 4.208114ms
   442	2022-03-12T13:56:09.604 INFO bellperson::gpu::multiexp > n:1000000, window_size:2, num_windows:128, num_groups:136, bucket_len:4
   454	2022-03-12T13:56:09.840 INFO bellperson::gpu::multiexp > ----------------------------------kernel run time: 205.691972ms
   442	2022-03-12T14:00:56.883 INFO bellperson::gpu::multiexp > n:1000000, window_size:3, num_windows:86, num_groups:202, bucket_len:8
   454	2022-03-12T14:00:57.059 INFO bellperson::gpu::multiexp > ----------------------------------kernel run time: 162.03187ms
   442	2022-03-12T14:05:41.782 INFO bellperson::gpu::multiexp > n:1000000, window_size:4, num_windows:64, num_groups:272, bucket_len:16
   454	2022-03-12T14:05:41.928 INFO bellperson::gpu::multiexp > ----------------------------------kernel run time: 116.210467ms
   442	2022-03-12T14:10:26.221 INFO bellperson::gpu::multiexp > n:1000000, window_size:5, num_windows:52, num_groups:334, bucket_len:32
   454	2022-03-12T14:10:26.345 INFO bellperson::gpu::multiexp > ----------------------------------kernel run time: 106.932723ms
   442	2022-03-12T14:15:10.398 INFO bellperson::gpu::multiexp > n:1000000, window_size:6, num_windows:43, num_groups:404, bucket_len:64
   454	2022-03-12T14:15:10.507 INFO bellperson::gpu::multiexp > ----------------------------------kernel run time: 94.442566ms
   442	2022-03-12T14:19:54.250 INFO bellperson::gpu::multiexp > n:1000000, window_size:7, num_windows:37, num_groups:470, bucket_len:128
   454	2022-03-12T14:19:54.348 INFO bellperson::gpu::multiexp > ----------------------------------kernel run time: 82.447215ms
   442	2022-03-12T14:24:41.963 INFO bellperson::gpu::multiexp > n:1000000, window_size:8, num_windows:32, num_groups:544, bucket_len:256
   454	2022-03-12T14:24:42.070 INFO bellperson::gpu::multiexp > ----------------------------------kernel run time: 89.470131ms
   442	2022-03-12T14:29:27.272 INFO bellperson::gpu::multiexp > n:1000000, window_size:9, num_windows:29, num_groups:600, bucket_len:512
   454	2022-03-12T14:29:27.404 INFO bellperson::gpu::multiexp > ----------------------------------kernel run time: 114.987759ms
   442	2022-03-12T14:34:15.868 INFO bellperson::gpu::multiexp > n:1000000, window_size:10, num_windows:26, num_groups:669, bucket_len:1024
   454	2022-03-12T14:34:16.054 INFO bellperson::gpu::multiexp > ----------------------------------kernel run time: 167.411341ms
   442	2022-03-12T14:39:06.631 INFO bellperson::gpu::multiexp > n:1000000, window_size:11, num_windows:24, num_groups:725, bucket_len:2048
   454	2022-03-12T14:39:06.942 INFO bellperson::gpu::multiexp > ----------------------------------kernel run time: 286.250574ms
   442	2022-03-12T14:43:12.574 INFO bellperson::gpu::multiexp > n:2000000, window_size:1, num_windows:256, num_groups:68, bucket_len:2
   454	2022-03-12T14:43:13.264 INFO bellperson::gpu::multiexp > ----------------------------------kernel run time: 662.642563ms
